brand,model,ram_gb,storage_gb,age_months,battery_health,condition,launch_price,price
Xiaomi,Redmi Note 12 Pro,6,128,28,82,Excellent,23999,8900.0
Xiaomi,Redmi Note 13 Pro,8,256,19,73,Fair,25999,9600.0
Google,Pixel 7a,8,128,7,76,Poor,43999,21900.0
Samsung,Galaxy A35,8,128,18,78,Fair,30999,13400.0
Samsung,Galaxy Z Flip 5,8,256,3,99,Fair,99999,74500.0
Google,Pixel 9 Pro XL,16,256,19,81,Poor,124999,47900.0
Apple,iPhone 16 Plus,8,128,19,84,Good,89900,51700.0
Samsung,Galaxy A55,8,128,19,87,Excellent,39999,21700.0
Samsung,Galaxy S24,8,256,8,91,Excellent,79999,65300.0
Apple,iPhone 16 Plus,8,512,38,68,Good,89900,27900.0
Samsung,Galaxy S22 Ultra,12,1024,18,89,Poor,109999,40000.0
Samsung,Galaxy S23 FE,8,256,8,85,Good,59999,43400.0
Xiaomi,Redmi Note 12 Pro,8,256,44,69,Fair,23999,4200.0
Samsung,Galaxy A35,8,256,24,81,Fair,30999,12200.0
Samsung,Galaxy A55,8,128,19,82,Excellent,39999,22700.0
Samsung,Galaxy S24+,12,256,3,100,Good,99999,91500.0
Samsung,Galaxy A35,8,256,46,62,Good,30999,6600.0
Google,Pixel 6a,6,128,48,58,Excellent,29999,6700.0
Samsung,Galaxy Z Fold 5,12,256,8,88,Good,154999,107900.0
Samsung,Galaxy M55,8,256,31,77,Good,26999,8700.0
Samsung,Galaxy A35,8,128,17,83,Excellent,30999,18100.0
OnePlus,OnePlus 10 Pro,12,256,17,80,Fair,61999,28200.0
Xiaomi,Redmi Note 13 Pro+,8,256,35,74,Good,31999,8400.0
Samsung,Galaxy A55,8,256,19,79,Good,39999,19300.0
Samsung,Galaxy A35,8,256,42,62,Poor,30999,5300.0
Samsung,Galaxy M55,8,128,2,98,Good,26999,24100.0
Samsung,Galaxy S23 Ultra,12,1024,1,92,Excellent,124999,122900.0
Apple,iPhone 16 Plus,8,128,17,88,Excellent,89900,62900.0
Google,Pixel 8,8,256,21,66,Excellent,75999,38700.0
Samsung,Galaxy S22 Ultra,12,256,44,72,Good,109999,25300.0
Xiaomi,Redmi Note 12 Pro,6,128,20,90,Good,23999,11300.0
Samsung,Galaxy S23 Ultra,12,256,46,57,Good,124999,25600.0
Samsung,Galaxy S23 Ultra,12,512,12,87,Fair,124999,70700.0
Samsung,Galaxy M55,8,256,28,80,Good,26999,10400.0
Xiaomi,Redmi Note 12 Pro,6,128,48,74,Good,23999,4300.0
Apple,iPhone 16 Plus,8,256,31,79,Excellent,89900,35900.0
Xiaomi,Redmi Note 12 Pro,6,128,26,72,Good,23999,8400.0
Samsung,Galaxy S23 Ultra,12,1024,32,85,Good,124999,42700.0
Xiaomi,Redmi Note 12 Pro,8,256,43,70,Good,23999,5000.0
Google,Pixel 8,8,128,2,92,Fair,75999,64100.0
Samsung,Galaxy S23 FE,8,128,28,82,Poor,59999,16800.0
Samsung,Galaxy A55,8,128,33,80,Excellent,39999,14300.0
Samsung,Galaxy F54,8,256,35,79,Excellent,29999,9600.0
Xiaomi,Poco F6,8,256,15,85,Good,29999,16400.0
Samsung,Galaxy S24 Ultra,12,512,7,93,Good,129999,99100.0
Samsung,Galaxy F54,8,256,25,91,Excellent,29999,15100.0
Samsung,Galaxy S23 Ultra,12,1024,4,83,Fair,124999,91500.0
Apple,iPhone 17 Pro,12,512,41,70,Good,144900,40700.0
Samsung,Galaxy M55,8,128,16,78,Excellent,26999,15900.0
Apple,iPhone 17 Pro Max,12,256,27,73,Fair,169900,59900.0
Apple,iPhone 16 Plus,8,512,15,85,Fair,89900,49600.0
Samsung,Galaxy A35,8,256,25,76,Fair,30999,10300.0
Google,Pixel 8 Pro,12,256,31,74,Excellent,106999,38800.0
Google,Pixel 7a,8,128,20,80,Good,43999,23500.0
Google,Pixel 6a,6,128,1,94,Good,29999,30800.0
Samsung,Galaxy S22 Ultra,12,512,20,77,Poor,109999,36600.0
Google,Pixel 6a,6,128,43,61,Good,29999,6900.0
Google,Pixel 9 Pro XL,16,512,6,93,Good,124999,108200.0
OnePlus,OnePlus 10 Pro,12,256,27,65,Excellent,61999,25900.0
Samsung,Galaxy S23 FE,8,256,8,86,Excellent,59999,45600.0
Samsung,Galaxy S24 Ultra,12,1024,32,62,Good,129999,42300.0
Samsung,Galaxy S24+,12,512,24,92,Good,99999,47400.0
Google,Pixel 8 Pro,12,512,32,75,Fair,106999,30300.0
OnePlus,OnePlus 10 Pro,8,128,10,93,Good,61999,44600.0
Apple,iPhone 17,8,256,17,86,Good,89900,55400.0
Samsung,Galaxy Z Fold 5,12,1024,5,92,Poor,154999,94600.0
Samsung,Galaxy Note 20 Ultra,12,512,10,88,Good,104999,68000.0
Samsung,Galaxy Z Fold 5,12,256,15,87,Good,154999,91100.0
Samsung,Galaxy S24 Ultra,12,1024,24,71,Good,129999,50800.0
Samsung,Galaxy A55,8,256,7,95,Good,39999,31800.0
Samsung,Galaxy S24+,12,512,13,95,Fair,99999,55600.0
Samsung,Galaxy S24+,12,256,19,88,Excellent,99999,54500.0
Apple,iPhone 17 Pro,12,256,3,99,Poor,144900,103400.0
Samsung,Galaxy S23 FE,8,256,41,63,Good,59999,14600.0
Samsung,Galaxy A35,8,128,25,82,Excellent,30999,14600.0
OnePlus,OnePlus Open,16,512,11,94,Good,139999,99500.0
Google,Pixel 7a,8,128,9,100,Poor,43999,22700.0
Samsung,Galaxy S24 Ultra,12,512,24,75,Fair,129999,44300.0
Google,Pixel 9 Pro XL,16,256,12,95,Excellent,124999,99700.0
Apple,iPhone 17 Plus,8,256,36,62,Good,99900,31800.0
OnePlus,OnePlus Open,16,1024,14,87,Good,139999,84100.0
Samsung,Galaxy S24 Ultra,12,1024,48,64,Good,129999,24600.0
Samsung,Galaxy Z Fold 5,12,256,9,94,Poor,154999,77300.0
OnePlus,OnePlus Open,16,512,20,88,Good,139999,67600.0
Xiaomi,Redmi Note 13 Pro,8,128,28,79,Good,25999,8600.0
Apple,iPhone 17 Plus,8,512,42,69,Fair,99900,23200.0
Samsung,Galaxy S22 Ultra,12,256,17,79,Fair,109999,47500.0
Google,Pixel 8 Pro,12,256,27,82,Good,106999,43100.0
Samsung,Galaxy Note 20 Ultra,12,512,35,80,Good,104999,31800.0
Google,Pixel 8 Pro,12,512,37,74,Excellent,106999,33900.0
Samsung,Galaxy Z Fold 5,12,256,23,83,Good,154999,68800.0
Samsung,Galaxy Z Fold 5,12,512,26,61,Fair,154999,51600.0
Samsung,Galaxy S23 Ultra,12,1024,47,66,Poor,124999,18200.0
Samsung,Galaxy S22 Ultra,12,256,31,84,Excellent,109999,44100.0
Samsung,Galaxy Z Fold 5,12,256,6,87,Excellent,154999,131500.0
Samsung,Galaxy S24+,12,512,17,77,Good,99999,48400.0
OnePlus,OnePlus 10 Pro,12,256,40,65,Good,61999,15300.0
Samsung,Galaxy S24 Ultra,12,256,12,88,Good,129999,81800.0
Samsung,Galaxy S23 FE,8,128,33,79,Excellent,59999,20700.0
Samsung,Galaxy S23 Ultra,12,256,30,73,Excellent,124999,46000.0
Apple,iPhone 17 Pro Max,12,512,17,94,Good,169900,114000.0
Apple,iPhone 17 Pro Max,12,1024,9,76,Excellent,169900,139500.0
Google,Pixel 6a,6,128,46,63,Excellent,29999,6900.0
Samsung,Galaxy S24+,12,256,29,78,Fair,99999,29900.0
Samsung,Galaxy S23 Ultra,12,512,43,64,Fair,124999,24100.0
OnePlus,OnePlus Open,16,512,38,78,Excellent,139999,38200.0
Google,Pixel 8 Pro,12,512,30,69,Good,106999,37500.0
Samsung,Galaxy Note 20 Ultra,12,512,34,77,Good,104999,30600.0
Samsung,Galaxy S23 Ultra,12,256,25,71,Good,124999,48900.0
Samsung,Galaxy A55,8,128,47,75,Good,39999,8200.0
Google,Pixel 8,8,128,11,93,Fair,75999,46500.0
Samsung,Galaxy S24 Ultra,12,256,20,79,Good,129999,61000.0
Apple,iPhone 17 Pro Max,12,256,15,86,Excellent,169900,119500.0
Samsung,Galaxy S23 Ultra,12,256,18,81,Excellent,124999,69400.0
Samsung,Galaxy S24+,12,512,11,96,Excellent,99999,71700.0
Google,Pixel 8,8,256,19,79,Fair,75999,32300.0
Samsung,Galaxy S24 Ultra,12,512,13,87,Good,129999,80600.0
Xiaomi,Redmi Note 13 Pro+,8,256,33,64,Excellent,31999,9700.0
Samsung,Galaxy Note 20 Ultra,12,256,36,79,Excellent,104999,32900.0
Samsung,Galaxy S24+,12,256,40,61,Excellent,99999,28500.0
Xiaomi,Poco X6 Pro,8,256,6,86,Good,25999,17400.0
Samsung,Galaxy A55,8,128,36,83,Good,39999,12200.0
OnePlus,OnePlus 10 Pro,12,256,38,67,Good,61999,15700.0
Samsung,Galaxy F54,8,256,7,96,Excellent,29999,25000.0
Samsung,Galaxy A35,8,128,41,74,Fair,30999,6500.0
Samsung,Galaxy A35,8,256,3,87,Good,30999,26900.0
Samsung,Galaxy Note 20 Ultra,12,512,18,86,Fair,104999,49700.0
OnePlus,OnePlus Open,16,1024,48,66,Good,139999,27100.0
Samsung,Galaxy S24 Ultra,12,512,25,77,Good,129999,49300.0
Samsung,Galaxy S22 Ultra,12,256,38,71,Poor,109999,21600.0
Google,Pixel 6a,6,128,40,79,Good,29999,8000.0
Apple,iPhone 16 Plus,8,128,31,77,Good,89900,33900.0
Samsung,Galaxy S23 FE,8,256,2,96,Excellent,59999,57200.0
Samsung,Galaxy S24 Ultra,12,1024,48,67,Fair,129999,21600.0
Samsung,Galaxy A35,8,128,35,59,Good,30999,9400.0
Samsung,Galaxy Z Fold 5,12,1024,20,76,Good,154999,71500.0
Apple,iPhone 17 Pro,12,1024,26,88,Excellent,144900,74400.0
Samsung,Galaxy A35,8,256,38,62,Excellent,30999,8600.0
Samsung,Galaxy S23 Ultra,12,1024,32,75,Good,124999,40700.0
Samsung,Galaxy A35,8,256,30,70,Fair,30999,9000.0
Google,Pixel 6a,6,128,9,91,Excellent,29999,24400.0
Samsung,Galaxy Z Fold 5,12,512,2,85,Good,154999,134000.0
Samsung,Galaxy S24 Ultra,12,1024,17,82,Fair,129999,59600.0
Samsung,Galaxy Z Fold 5,12,256,31,77,Fair,154999,43300.0
Samsung,Galaxy Z Flip 5,8,512,34,83,Fair,99999,29700.0
Xiaomi,Redmi Note 12 Pro,6,128,1,94,Excellent,23999,21300.0
Samsung,Galaxy Z Fold 5,12,512,3,95,Fair,154999,121000.0
Google,Pixel 7 Pro,12,128,8,83,Poor,84999,44300.0
Xiaomi,Redmi Note 12 Pro,6,128,40,74,Good,23999,5500.0
Samsung,Galaxy A35,8,128,11,91,Excellent,30999,23000.0
Samsung,Galaxy S23 FE,8,128,6,95,Fair,59999,42800.0
Xiaomi,Redmi Note 13 Pro,8,256,15,83,Good,25999,14200.0
Xiaomi,Redmi Note 12 Pro,8,256,18,86,Excellent,23999,12400.0
OnePlus,OnePlus 10 Pro,8,128,30,69,Excellent,61999,23000.0
Samsung,Galaxy A55,8,256,27,78,Good,39999,15200.0
Xiaomi,Redmi Note 13 Pro+,8,256,5,98,Good,31999,23800.0
Samsung,Galaxy F54,8,256,36,69,Excellent,29999,9200.0
Samsung,Galaxy S23 Ultra,12,1024,41,63,Fair,124999,27700.0
Samsung,Galaxy Z Flip 5,8,256,10,87,Good,99999,68400.0
Samsung,Galaxy Z Flip 5,8,512,33,70,Good,99999,32600.0
Samsung,Galaxy S24,8,256,24,80,Fair,79999,30900.0
Samsung,Galaxy S24+,12,512,24,80,Good,99999,43800.0
Samsung,Galaxy A55,8,256,31,90,Excellent,39999,16800.0
Samsung,Galaxy S22 Ultra,12,256,43,83,Excellent,109999,30100.0
Samsung,Galaxy A55,8,128,16,77,Good,39999,20200.0
Apple,iPhone 17 Pro,12,512,32,75,Fair,144900,47300.0
Google,Pixel 9,12,256,4,100,Excellent,79999,77400.0
Samsung,Galaxy S22 Ultra,12,256,17,83,Good,109999,59000.0
OnePlus,OnePlus 10 Pro,12,256,26,78,Good,61999,22400.0
Samsung,Galaxy A55,8,128,1,95,Excellent,39999,38800.0
Xiaomi,Poco X6 Pro,8,256,38,69,Good,25999,6600.0
Samsung,Galaxy Z Fold 5,12,256,3,93,Fair,154999,120800.0
Xiaomi,Redmi Note 12 Pro,8,256,33,78,Good,23999,6700.0
Samsung,Galaxy A35,8,128,41,67,Excellent,30999,7800.0
Google,Pixel 9 Pro XL,16,256,20,85,Good,124999,65000.0
OnePlus,OnePlus Open,16,1024,28,81,Good,139999,54300.0
Samsung,Galaxy M55,8,256,6,93,Good,26999,22400.0
Xiaomi,Poco X6 Pro,8,256,47,64,Fair,25999,4400.0
Samsung,Galaxy M55,8,128,44,73,Good,26999,6000.0
Apple,iPhone 17 Pro,12,512,47,76,Fair,144900,27500.0
OnePlus,OnePlus 10 Pro,8,128,47,73,Good,61999,12400.0
Samsung,Galaxy A35,8,256,12,97,Good,30999,20700.0
Samsung,Galaxy A35,8,128,27,87,Good,30999,12000.0
Samsung,Galaxy Z Fold 5,12,256,37,70,Good,154999,43800.0
Google,Pixel 8a,8,256,36,68,Good,52999,15200.0
Xiaomi,Redmi Note 13 Pro,8,256,48,67,Good,25999,4600.0
Samsung,Galaxy S24,8,256,3,95,Excellent,79999,75300.0
Samsung,Galaxy S22 Ultra,12,1024,33,71,Excellent,109999,38700.0
Samsung,Galaxy Z Fold 5,12,512,47,64,Good,154999,30800.0
Samsung,Galaxy Z Flip 5,8,512,38,77,Fair,99999,22100.0
Xiaomi,Redmi Note 13 Pro+,8,256,38,75,Excellent,31999,8700.0
Apple,iPhone 17 Pro,12,512,30,80,Good,144900,57000.0
Google,Pixel 7 Pro,12,128,21,81,Excellent,84999,47600.0
Samsung,Galaxy A35,8,128,29,76,Excellent,30999,12000.0
Samsung,Galaxy S24+,12,512,11,93,Excellent,99999,72400.0
Samsung,Galaxy Z Fold 5,12,256,22,78,Good,154999,68900.0
Xiaomi,Redmi Note 12 Pro,8,256,31,81,Good,23999,7700.0
Samsung,Galaxy S24 Ultra,12,1024,44,68,Good,129999,28900.0
Xiaomi,Poco F6,8,256,46,68,Excellent,29999,6100.0
Xiaomi,Poco X6 Pro,8,256,48,65,Excellent,25999,5000.0
Google,Pixel 8a,8,256,36,61,Excellent,52999,17800.0
Apple,iPhone 17 Pro Max,12,1024,22,82,Excellent,169900,101400.0
Google,Pixel 8a,8,128,46,61,Good,52999,12000.0
OnePlus,OnePlus Open,16,512,9,93,Good,139999,101300.0
Samsung,Galaxy S24,8,128,13,83,Excellent,79999,54000.0
Xiaomi,Redmi Note 12 Pro,6,128,48,61,Good,23999,4500.0
Apple,iPhone 16 Plus,8,256,9,92,Good,89900,76200.0
Xiaomi,Redmi Note 12 Pro,6,128,14,79,Fair,23999,10600.0
Samsung,Galaxy A35,8,128,1,96,Good,30999,28400.0
Samsung,Galaxy S24 Ultra,12,256,35,71,Fair,129999,32000.0
Xiaomi,Redmi Note 13 Pro+,8,256,24,81,Good,31999,13000.0
Xiaomi,Redmi Note 12 Pro,6,128,18,84,Excellent,23999,12800.0
Google,Pixel 8,8,256,44,71,Excellent,75999,18900.0
Samsung,Galaxy S24 Ultra,12,1024,17,89,Poor,129999,50000.0
Google,Pixel 9,12,256,18,74,Fair,79999,35700.0
Xiaomi,Redmi Note 12 Pro,6,128,6,100,Fair,23999,15600.0
Samsung,Galaxy A35,8,256,3,94,Good,30999,27300.0
Apple,iPhone 17 Pro Max,12,512,33,77,Good,169900,58000.0
Xiaomi,Redmi Note 12 Pro,8,256,8,87,Good,23999,15500.0
Xiaomi,Poco X6 Pro,8,256,32,81,Good,25999,8300.0
Xiaomi,Redmi Note 13 Pro,8,256,15,81,Excellent,25999,14800.0
Samsung,Galaxy A55,8,128,20,84,Fair,39999,17500.0
Xiaomi,Redmi Note 13 Pro,8,128,2,89,Fair,25999,17000.0
Google,Pixel 7 Pro,12,256,48,59,Fair,84999,15000.0
Samsung,Galaxy S24,8,256,21,75,Good,79999,37100.0
Xiaomi,Poco F6,8,256,33,74,Excellent,29999,9300.0
Samsung,Galaxy S22 Ultra,12,1024,7,86,Good,109999,81700.0
Xiaomi,Poco X6 Pro,8,256,3,86,Good,25999,20800.0
Apple,iPhone 17 Pro,12,1024,43,74,Excellent,144900,38800.0
Samsung,Galaxy S24+,12,512,43,75,Fair,99999,19100.0
Samsung,Galaxy A35,8,256,35,84,Good,30999,10300.0
Google,Pixel 7 Pro,12,256,5,94,Fair,84999,64400.0
OnePlus,OnePlus 10 Pro,8,128,17,82,Excellent,61999,34600.0
OnePlus,OnePlus Open,16,512,30,80,Fair,139999,42000.0
Apple,iPhone 17 Plus,8,512,11,84,Excellent,99900,79300.0
Samsung,Galaxy Z Fold 5,12,512,30,66,Fair,154999,47900.0
Samsung,Galaxy S23 Ultra,12,512,3,95,Poor,124999,81000.0
Samsung,Galaxy S24 Ultra,12,1024,26,87,Excellent,129999,58900.0
Samsung,Galaxy S24 Ultra,12,1024,10,79,Excellent,129999,86200.0
Xiaomi,Redmi Note 13 Pro,8,256,32,84,Good,25999,8200.0
Google,Pixel 8,8,128,15,84,Good,75999,44400.0
Samsung,Galaxy Z Fold 5,12,256,16,87,Fair,154999,75900.0
Samsung,Galaxy S24 Ultra,12,512,27,75,Good,129999,50300.0
Samsung,Galaxy S22 Ultra,12,1024,46,59,Excellent,109999,24600.0
Samsung,Galaxy Z Fold 5,12,256,11,78,Good,154999,98400.0
Apple,iPhone 17 Pro,12,512,29,75,Good,144900,56100.0
Samsung,Galaxy Note 20 Ultra,12,512,32,76,Poor,104999,24400.0
Samsung,Galaxy Z Flip 5,8,256,30,74,Good,99999,33700.0
